emg_rms_0,emg_rms_1,emg_rms_2,emg_rms_3,emg_rms_4,emg_rms_5,emg_rms_6,emg_rms_7,emg_mean_0,emg_mean_1,emg_mean_2,emg_mean_3,emg_mean_4,emg_mean_5,emg_mean_6,emg_mean_7,emg_var_0,emg_var_1,emg_var_2,emg_var_3,emg_var_4,emg_var_5,emg_var_6,emg_var_7,label
2.4289915602982237,3.0659419433511785,1.746424919657298,1.7175564037317668,1.5652475842498528,1.746424919657298,2.224859546128699,12.463948010161147,-1.4,-1.2,-0.65,-0.55,-0.95,-1.05,-1.15,-3.15,3.939999999999999,7.959999999999999,2.627499999999999,2.6475,1.5474999999999999,1.9474999999999998,3.627499999999999,145.42750000000007,0
2.5787593916455256,3.7549966711037173,2.3021728866442674,1.760681686165901,1.51657508881031,1.7175564037317668,1.61245154965971,9.710818709048171,-1.25,-2.1,-1.0,-0.6,-1.0,-1.35,-1.0,-0.6,5.0875,9.690000000000001,4.3,2.7399999999999993,1.3,1.1275,1.6,93.94,0
2.4289915602982237,4.135214625627067,2.569046515733026,1.6733200530681511,1.3416407864998738,1.5491933384829668,1.5652475842498528,9.664367542679656,-0.7,-1.4,-1.5,-0.5,-0.7,-1.0,-0.65,1.0,5.409999999999999,15.14,4.35,2.55,1.3100000000000003,1.4,2.0275,92.4,0
2.1447610589527217,3.6945906403822333,2.280350850198276,1.9874606914351791,1.5491933384829668,1.3228756555322954,1.746424919657298,6.884765791223402,-0.9,-0.95,-1.4,-1.05,-1.0,-0.85,-0.75,0.7,3.79,12.747499999999999,3.2400000000000007,2.8475,1.4,1.0275,2.4875,46.91,0
2.04939015319192,3.3541019662496847,2.4083189157584592,1.9493588689617927,1.9493588689617927,1.61245154965971,1.7320508075688772,8.267405880927825,-0.9,-0.85,-1.3,-1.2,-1.5,-0.8,-0.6,-1.35,3.3899999999999997,10.5275,4.109999999999999,2.36,1.55,1.9599999999999997,2.6399999999999997,66.52749999999999,0
1.449137674618944,2.7658633371878665,2.449489742783178,1.5811388300841898,1.8439088914585775,1.7320508075688772,1.6583123951777,7.981227975693966,-0.4,-0.45,-0.9,-0.8,-1.2,-1.0,-0.65,-1.0,1.9400000000000002,7.447500000000001,5.1899999999999995,1.8599999999999999,1.9599999999999995,2.0,2.3275,62.7,0
1.6278820596099706,3.9370039370059056,2.8372521918222215,1.5329709716755893,1.4317821063276353,1.6431676725154984,1.8303005217723127,6.822756041366275,-0.55,-1.2,-1.15,-0.85,-0.85,-1.3,-1.05,0.25,2.3475000000000006,14.059999999999999,6.727499999999999,1.6275,1.3275000000000001,1.01,2.2475000000000005,46.4875,0
2.280350850198276,4.031128874149275,2.588435821108957,1.5491933384829668,1.3416407864998738,1.9364916731037085,1.61245154965971,8.163945124754331,-0.7,-1.55,-1.1,-0.7,-0.9,-1.15,-0.7,-1.95,4.71,13.8475,5.49,1.9099999999999997,0.9900000000000002,2.4274999999999998,2.1100000000000003,62.847500000000004,0
2.5199206336708304,3.9812058474788765,2.6832815729997477,1.6583123951777,1.4317821063276353,1.7888543819998317,1.6431676725154984,9.534149149242422,-1.05,-1.15,-0.9,-0.65,-0.95,-0.8,-0.7,-3.3,5.2475,14.5275,6.389999999999999,2.3275,1.1475,2.56,2.21,80.00999999999999,0
2.1908902300206643,3.774917217635375,2.9154759474226504,1.7888543819998317,1.4142135623730951,1.2041594578792296,1.61245154965971,8.674675786448736,-0.9,-0.25,-0.5,-1.0,-1.0,-0.55,-0.8,-1.35,3.9899999999999998,14.1875,8.25,2.2,1.0,1.1475000000000004,1.9599999999999997,73.42749999999998,0
1.70293863659264,3.1937438845342623,2.1563858652847827,2.0248456731316584,1.6431676725154984,1.5652475842498528,1.3038404810405297,7.625614729318548,-0.3,-0.8,-0.45,-1.4,-0.9,-0.65,-0.2,1.35,2.81,9.559999999999999,4.447500000000001,2.14,1.89,2.0275,1.6600000000000001,56.327499999999986,0
2.1213203435596424,2.588435821108957,2.7294688127912363,2.0371548787463363,1.6733200530681511,1.746424919657298,1.61245154965971,8.139410298049853,-0.8,-0.8,-1.05,-1.35,-0.9,-0.85,-0.5,-1.15,3.8600000000000003,6.0600000000000005,6.3475,2.3275,1.9900000000000007,2.3275,2.35,64.9275,0
